"GEO_ID","NAME","B01003_001E","B01003_001M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total"
"0500000US02020","Anchorage Municipality, Alaska","298192","*****"
"0500000US02090","Fairbanks North Star Borough, Alaska","100605","*****"
"0500000US02170","Matanuska-Susitna Borough, Alaska","104365","*****"
"0500000US04001","Apache County, Arizona","73112","*****"
"0500000US04003","Cochise County, Arizona","125770","*****"
"0500000US04005","Coconino County, Arizona","140908","*****"
"0500000US04013","Maricopa County, Arizona","4242997","*****"
"0500000US04015","Mohave County, Arizona","205249","*****"
"0500000US04017","Navajo County, Arizona","110026","*****"
"0500000US04019","Pima County, Arizona","1016206","*****"
"0500000US04021","Pinal County, Arizona","418540","*****"
"0500000US04025","Yavapai County, Arizona","225562","*****"
"0500000US04027","Yuma County, Arizona","205631","*****"
"0500000US05007","Benton County, Arkansas","258291","*****"
"0500000US48135","Ector County, Texas","157462","*****"
"0500000US48139","Ellis County, Texas","168499","*****"
"0500000US48141","El Paso County, Texas","837918","*****"
"0500000US48157","Fort Bend County, Texas","741237","*****"
"0500000US48167","Galveston County, Texas","329431","*****"
"0500000US48181","Grayson County, Texas","128235","*****"
"0500000US48183","Gregg County, Texas","123745","*****"
"0500000US48187","Guadalupe County, Texas","155265","*****"
"0500000US48201","Harris County, Texas","4589928","*****"
"0500000US48203","Harrison County, Texas","66534","*****"
"0500000US48209","Hays County, Texas","204470","*****"
"0500000US48213","Henderson County, Texas","79901","*****"
"0500000US48215","Hidalgo County, Texas","849843","*****"
"0500000US48231","Hunt County, Texas","92073","*****"
"0500000US48245","Jefferson County, Texas","254679","*****"
"0500000US48251","Johnson County, Texas","163274","*****"
"0500000US48257","Kaufman County, Texas","118350","*****"
"0500000US48291","Liberty County, Texas","81704","*****"
"0500000US48303","Lubbock County, Texas","303137","*****"
"0500000US48309","McLennan County, Texas","247934","*****"
"0500000US48329","Midland County, Texas","162565","*****"
"0500000US48339","Montgomery County, Texas","556203","*****"
"0500000US48347","Nacogdoches County, Texas","65806","*****"
"0500000US48355","Nueces County, Texas","361350","*****"
"0500000US48361","Orange County, Texas","84964","*****"
"0500000US48367","Parker County, Texas","129441","*****"
"0500000US48375","Potter County, Texas","120832","*****"
"0500000US48381","Randall County, Texas","132501","*****"
"0500000US48397","Rockwall County, Texas","93978","*****"
"0500000US48409","San Patricio County, Texas","67655","*****"
"0500000US48423","Smith County, Texas","225290","*****"
"0500000US48439","Tarrant County, Texas","2016872","*****"
"0500000US48441","Taylor County, Texas","136535","*****"
"0500000US48451","Tom Green County, Texas","118386","*****"
"0500000US48453","Travis County, Texas","1199323","*****"
"0500000US48469","Victoria County, Texas","92467","*****"
"0500000US48471","Walker County, Texas","71484","*****"
"0500000US48479","Webb County, Texas","271193","*****"
"0500000US48485","Wichita County, Texas","131838","*****"
"0500000US48491","Williamson County, Texas","528718","*****"
"0500000US49005","Cache County, Utah","122753","*****"
"0500000US49011","Davis County, Utah","342281","*****"
"0500000US49035","Salt Lake County, Utah","1121354","*****"
"0500000US49049","Utah County, Utah","592299","*****"
"0500000US49053","Washington County, Utah","160245","*****"
"0500000US49057","Weber County, Utah","247560","*****"
"0500000US50007","Chittenden County, Vermont","161531","*****"
"0500000US51003","Albemarle County, Virginia","106878","*****"
